rivalry_id,status,reason
celtic-fc--rangers-fc,INTEGRATED,Success
ca-penarol--club-nacional-de-football,INTEGRATED,Success
gremio-fbpa--sc-internacional,INTEGRATED,Success
cr-flamengo--fluminense-fc,INTEGRATED,Success
fc-barcelona--real-madrid,INTEGRATED,Success
ca-boca-juniors--ca-river-plate,INTEGRATED,Success
atletico-madrid--real-madrid,INTEGRATED,Success
ac-milan--fc-internazionale-milano,INTEGRATED,Success
fc-internazionale-milano--juventus-fc,INTEGRATED,Success
fenerbahce-sk--galatasaray-sk,INTEGRATED,Success
cd-guadalajara-chivas--club-america,INTEGRATED,Success
olympiacos-fc--panathinaikos-fc,INTEGRATED,Success
sl-benfica--sporting-cp,INTEGRATED,Success
arsenal-fc--tottenham-hotspur,INTEGRATED,Success
liverpool-fc--manchester-united,INTEGRATED,Success
al-ahly-sc--zamalek-sc,INTEGRATED,Success
afc-ajax--feyenoord-rotterdam,INTEGRATED,Success
as-roma--ss-lazio,INTEGRATED,Success
ca-boca-juniors--ca-independiente,INTEGRATED,Success
borussia-dortmund--fc-schalke-04,INTEGRATED,Success
ec-bahia--ec-vitoria,INTEGRATED,Success
clube-atletico-mineiro--cruzeiro-ec,INTEGRATED,Success
club-bolivar--the-strongest,INTEGRATED,Success
club-cerro-porteno--club-olimpia,INTEGRATED,Success
deportivo-saprissa--ld-alajuelense,INTEGRATED,Success
csd-comunicaciones--csd-municipal,INTEGRATED,Success
cr-flamengo--cr-vasco-da-gama,INTEGRATED,Success
heart-of-midlothian--hibernian-fc,INTEGRATED,Success
sc-corinthians--se-palmeiras,INTEGRATED,Success
botafogo-fr--cr-flamengo,INTEGRATED,Success
club-athletico-paranaense--coritiba-fbc,INTEGRATED,Success
sao-paulo-fc--sc-corinthians,INTEGRATED,Success
sao-paulo-fc--se-palmeiras,INTEGRATED,Success
al-faisaly-sc--al-wehdat-sc,INTEGRATED,Success
barcelona-sc--cs-emelec,INTEGRATED,Success
cr-vasco-da-gama--fluminense-fc,INTEGRATED,Success
atletico-nacional--independiente-medellin,INTEGRATED,Success
club-alianza-lima--club-universitario,INTEGRATED,Success
america-de-cali--deportivo-cali,INTEGRATED,Success
independiente-santa-fe--millonarios-fc,INTEGRATED,Success
pohang-steelers--ulsan-hd-fc,INTEGRATED,Success
santos-fc--se-palmeiras,INTEGRATED,Success
club-america--cruz-azul,INTEGRATED,Success
ac-milan--juventus-fc,INTEGRATED,Success
cf-monterrey--tigres-uanl,INTEGRATED,Success
club-america--club-universidad-nacional-pumas,INTEGRATED,Success
fc-porto--sl-benfica,INTEGRATED,Success
club-universidad-de-chile--csd-colo-colo,INTEGRATED,Success
everton-fc--liverpool-fc,INTEGRATED,Success
arsenal-fc--chelsea-fc,INTEGRATED,Success
chelsea-fc--manchester-united,INTEGRATED,Success
universidad-catolica--universidad-de-chile,INTEGRATED,Success
kaizer-chiefs--orlando-pirates,INTEGRATED,Success
cd-guadalajara--club-atlas,INTEGRATED,Success
liverpool-fc--tottenham-hotspur,INTEGRATED,Success
afc-ajax--psv-eindhoven,INTEGRATED,Success
borussia-dortmund--fc-bayern-munich,INTEGRATED,Success
atletico-nacional--millonarios-fc,INTEGRATED,Success
esperance-de-tunis--etoile-du-sahel,INTEGRATED,Success
al-hilal-sfc--al-ittihad-fc,INTEGRATED,Success
fc-barcelona--rcd-espanyol,INTEGRATED,Success
raja-club-athletic--wydad-ac,INTEGRATED,Success
club-africain--esperance-de-tunis,INTEGRATED,Success
al-hilal-sfc--al-nassr-fc,INTEGRATED,Success
athletic-club--real-sociedad,INTEGRATED,Success
al-hilal-club--al-merrikh-sc,INTEGRATED,Success
jeonbuk-hyundai-motors--ulsan-hd-fc,INTEGRATED,Success
fc-internazionale-milano--ss-lazio,INTEGRATED,Success
olympique-de-marseille--paris-saint-germain,INTEGRATED,Success
manchester-city--manchester-united,INTEGRATED,Success
juventus-fc--ssc-napoli,INTEGRATED,Success
ca-independiente--racing-club,INTEGRATED,Success
club-universidad-nacional-pumas--cruz-azul,INTEGRATED,Success
al-ahli-sfc--al-ittihad-fc,INTEGRATED,Success
dc-united--new-york-red-bulls,INTEGRATED,Success
fc-seoul--suwon-samsung-bluewings,INTEGRATED,Success
as-roma--juventus-fc,INTEGRATED,Success
chelsea-fc--manchester-city,INTEGRATED,Success
as-roma--ssc-napoli,INTEGRATED,Success
juventus-fc--torino-fc,INTEGRATED,Success
