slug,official_name,country
acf-fiorentina,ACF Fiorentina,Italy
afc-ajax,AFC Ajax,Netherlands
afc-leopards,AFC Leopards,Kenya
africa-sports,Africa Sports,Ivory Coast
al-faisaly-sc,Al-Faisaly SC,Jordan
al-hilal-club,Al-Hilal Club,Sudan
al-merrikh-sc,Al-Merrikh SC,Sudan
al-quwa-al-jawiya,Al-Quwa Al-Jawiya,Iraq
al-wehdat-sc,Al-Wehdat SC,Jordan
al-zawraa-sc,Al-Zawraa SC,Iraq
amarica-de-cali,AmÃ©rica de Cali,Colombia
as-mont-dore,AS Mont-Dore,New Caledonia
as-saint-atienne,AS Saint-Ã‰tienne,France
as-saint-etienne,AS Saint-Etienne,France
as-vanus,AS VÃ©nus,Tahiti (French Polynesia)
atlatico-madrid,AtlÃ©tico Madrid,Spain
atlatico-nacional,AtlÃ©tico Nacional,Colombia
atoile-du-sahel,Ã‰toile du Sahel,Tunisia
ca-boca-juniors,CA Boca Juniors,Argentina
ca-peaarol,CA PeÃ±arol,Uruguay
club-amarica,Club AmÃ©rica,Mexico
club-bolavar,Club BolÃ­var,Bolivia
club-cerro-porteao,Club Cerro PorteÃ±o,Paraguay
clube-atlatico-mineiro,Clube AtlÃ©tico Mineiro,Brazil
coritiba-fbc,Coritiba FBC,Brazil
csd-colo-colo,CSD Colo-Colo,Chile
csd-comunicaciones,CSD Comunicaciones,Guatemala
csd-municipal,CSD Municipal,Guatemala
ec-vita3ria,EC VitÃ³ria,Brazil
esparance-de-tunis,EspÃ©rance de Tunis,Tunisia / Morocco
fenerbahae-sk,FenerbahÃ§e SK,Turkey
graamio-fbpa,GrÃªmio FBPA,Brazil
independiente-medellan,Independiente MedellÃ­n,Colombia
jaobilo-iwata,JÃºbilo Iwata,Japan
paris-saint-germain,Paris Saint-Germain,France
raja-club-athletic,Raja Club Athletic,Morocco
sunderland-afc,Sunderland AFC,England
the-strongest,The Strongest,Bolivia
universidad-cata3lica,Universidad CatÃ³lica,Chile
young-africans-sc-yanga,Young Africans SC (Yanga),Tanzania
