slug,official_name,country
afc-leopards,AFC Leopards,Kenya
africa-sports,Africa Sports,Ivory Coast
al-faisaly-sc,Al-Faisaly SC,Jordan
al-hilal-club,Al-Hilal Club,Sudan
al-merrikh-sc,Al-Merrikh SC,Sudan
al-quwa-al-jawiya,Al-Quwa Al-Jawiya,Iraq
al-wehdat-sc,Al-Wehdat SC,Jordan
al-zawraa-sc,Al-Zawraa SC,Iraq
america-de-cali,América de Cali,Colombia
as-mont-dore,AS Mont-Dore,New Caledonia
as-saint-etienne,AS Saint-Etienne,France
as-venus,AS Vénus,Tahiti (French Polynesia)
atletico-madrid,Atlético Madrid,Spain
ca-boca-juniors,CA Boca Juniors,Argentina
club-america,Club América,Mexico
csd-colo-colo,CSD Colo-Colo,Chile
csd-comunicaciones,CSD Comunicaciones,Guatemala
csd-municipal,CSD Municipal,Guatemala
ec-vitoria,EC Vitória,Brazil
esperance-de-tunis,Espérance de Tunis,Tunisia / Morocco
etoile-du-sahel,Étoile du Sahel,Tunisia
fenerbahce-sk,Fenerbahçe SK,Turkey
independiente-medellin,Independiente Medellín,Colombia
jubilo-iwata,Júbilo Iwata,Japan
paris-saint-germain,Paris Saint-Germain,France
raja-club-athletic,Raja Club Athletic,Morocco
sunderland-afc,Sunderland AFC,England
young-africans-sc-yanga,Young Africans SC (Yanga),Tanzania
