slug,official_name
afc-leopards,AFC Leopards
africa-sports,Africa Sports
al-faisaly-sc,Al-Faisaly SC
al-hilal-club,Al-Hilal Club
al-merrikh-sc,Al-Merrikh SC
al-quwa-al-jawiya,Al-Quwa Al-Jawiya
al-wehdat-sc,Al-Wehdat SC
al-zawraa-sc,Al-Zawraa SC
america-de-cali,América de Cali
as-mont-dore,AS Mont-Dore
as-saint-etienne,AS Saint-Etienne
as-venus,AS Vénus
atletico-madrid,Atlético Madrid
ca-boca-juniors,CA Boca Juniors
club-america,Club América
coritiba-fbc,Coritiba FBC
csd-colo-colo,CSD Colo-Colo
csd-comunicaciones,CSD Comunicaciones
csd-municipal,CSD Municipal
ec-vitoria,EC Vitória
esperance-de-tunis,Espérance de Tunis
etoile-du-sahel,Étoile du Sahel
fenerbahce-sk,Fenerbahçe SK
gremio-fbpa,Grêmio FBPA
independiente-medellin,Independiente Medellín
jubilo-iwata,Júbilo Iwata
paris-saint-germain,Paris Saint-Germain
raja-club-athletic,Raja Club Athletic
sunderland-afc,Sunderland AFC
young-africans-sc-yanga,Young Africans SC (Yanga)
